Nível	Ordem	Bloco	Tópico Principal	Subtópicos / Conteúdo	Status	Prioridade	Material Gerado	Flashcards	Exercícios	Teste	Revisado
A1	1	Pronúncia e Leitura	Alfabeto alemão e sons básicos	Alfabeto; nomes das letras; soletrar nomes; diferenças com português/espanhol; ditado simples	Concluído	-	Sim	Sim	Sim	Sim	Sim
A1	2	Pronúncia e Leitura	Vogais, Umlaut e ß	a, e, i, o, u; ä, ö, ü; ß vs ss; vogais longas e curtas; exemplos frequentes	Concluído	-	Sim	Sim	Sim	Sim	-
A1	3	Pronúncia e Leitura	Regras de leitura essenciais	ei vs ie; eu/äu; ch ich-Laut vs ach-Laut; sch; sp/st; z, v, w, j; leitura guiada	Concluído	-	Sim	Sim	Sim	Sim	-
A1	4	Comunicação Básica	Cumprimentos e despedidas	Hallo; Guten Morgen; Guten Tag; Guten Abend; Tschüss; Auf Wiedersehen; contexto formal/informal	Concluído	-	Sim	Sim	Sim	Sim	-
A1	5	Comunicação Básica	Apresentações com sein e heißen	Ich bin; du bist; er/sie ist; ich heiße; Wie heißt du?; Wer bist du?; pequenos diálogos	Concluído	-	Sim	Sim	Sim	Sim	-
A1	6	Comunicação Básica	Informações pessoais básicas	Nome; nacionalidade; cidade; profissão; idade; país; Ich komme aus...; Ich wohne in...	Concluído	-	Sim	Sim	Sim	Sim	-
A1	7	Gramática Básica	Pronomes pessoais no nominativo	ich; du; er; sie; es; wir; ihr; sie/Sie; diferença entre sie e Sie	Concluído	-	Sim	Sim	Sim	Sim	-
A1	8	Gramática Básica	O verbo sein no presente	Conjugação completa; frases afirmativas; frases negativas; perguntas simples	Concluído	-	Sim	Sim	Sim	Sim	-
A1	9	Gramática Básica	O verbo haben no presente	Conjugação completa; posse; idade com sein vs haben; Ich habe einen Bruder	Concluído	-	Sim	Sim	Sim	Sim	-
A1	10	Gramática Básica	Artigos definidos der, die, das	Gênero gramatical; diferença com português; uso com pessoas, objetos e conceitos	Concluído	-	Sim	Sim	Sim	Sim	-
A1	11	Gramática Básica	Padrões de gênero dos substantivos	Der: dias, meses, estações; Die: -ung, -heit, -keit; Das: -chen, -lein, infinitivos substantivados	Concluído	-	Sim	Sim	Sim	Sim	-
A1	12	Gramática Básica	Artigos indefinidos ein, eine	Ein/eine/ein; diferença entre artigo definido e indefinido; exemplos com objetos comuns	Concluído	-	Sim	Sim	Sim	Sim	-
A1	13	Vocabulário	Números cardinais	0–20; dezenas; centenas; milhares; telefone; preços; idade	Concluído	-	Sim	Sim	Sim	Sim	-
A1	14	Vocabulário	Dias, meses e estações	Segunda a domingo; janeiro a dezembro; Frühling, Sommer, Herbst, Winter; datas simples	Concluído	-	Sim	Sim	Sim	Sim	-
A1	15	Estrutura da Frase	Ordem básica da frase alemã	Sujeito + verbo + complemento; verbo na posição 2; comparação com português	Concluído	-	Sim	Sim	Sim	Sim	-
A1	16	Estrutura da Frase	Perguntas Sim/Não	Verbo na posição 1; Kommst du?; Lernst du Deutsch?; respostas Ja/Nein/Doch	Concluído	-	Sim	Sim	Sim	Sim	-
